date,open,high,low,close,adjusted close,return,volume,dividend amount,ticker
6/30/2014,144.575,148.0902,144.5295,147.85,20.4837,0.027318321,27802,0.6733,SPTM
5/30/2014,141.78,144.7522,140.1,144.575,19.939,0.019136604,32530,0,SPTM
4/30/2014,142.628,142.9885,136.91,141.86,19.5646,0.012346062,66148,0,SPTM
3/31/2014,140.56,143.6,139.18,140.13,19.326,-0.003922256,77292,0.5818,SPTM
2/28/2014,134.43,141.92,131.5602,141.26,19.4021,0.045056448,43627,0,SPTM
1/31/2014,139.1202,139.7598,134.07,135.1698,18.5656,-0.030137129,115000,0,SPTM
12/31/2013,136.3302,139.3698,134.3202,139.3698,19.1425,0.026286443,189400,0.677,SPTM
11/29/2013,133.2,136.47,131.5302,136.47,18.6522,0.026244553,37200,0,SPTM
10/31/2013,127.1502,134.49,124.3002,132.9798,18.1752,0.046590772,219300,0,SPTM
9/30/2013,124.3002,131.0598,123.3102,127.0602,17.3661,0.033302789,45500,0.5848,SPTM
8/30/2013,127.59,128.6502,123.2898,123.5202,16.8064,-0.02340041,70200,0,SPTM
7/31/2013,121.5798,127.0998,120.6702,126.48,17.2091,0.052685988,15600,0,SPTM
6/28/2013,122.8602,124.2402,116.61,120.15,16.3478,-0.014052398,103800,0.5648,SPTM
5/31/2013,119.1198,126.45,118.2702,122.4402,16.5808,0.024606676,81800,0,SPTM
4/30/2013,116.8302,119.5002,115.0002,119.5002,16.1826,0.016156682,99300,0,SPTM
3/28/2013,113.19,117.6198,112.6398,117.6,15.9253,0.038737493,131300,0.4509,SPTM
2/28/2013,113.3502,114.84,111.8502,113.6502,15.3314,0.009242315,73800,0,SPTM
1/31/2013,108.4902,113.1402,108.27,112.6098,15.191,0.059758344,129200,0,SPTM
12/31/2012,105.9798,108.4998,104.5602,106.26,14.3344,0.010653374,339300,0.6895,SPTM
11/30/2012,106.3302,106.9002,100.47,105.8202,14.1833,0.006278911,72600,0,SPTM
10/31/2012,107.37,109.0698,103.6302,105.1602,14.0948,-0.018297057,73900,0,SPTM
9/28/2012,104.7402,109.95,104.2002,107.1198,14.3575,0.024781768,92800,0.5202,SPTM
8/31/2012,102.9702,106.2702,100.6002,105.03,14.0103,0.021397119,64000,0,SPTM
7/31/2012,101.1198,103.23,99,102.8298,13.7168,0.014106166,29600,0,SPTM
6/29/2012,96.3198,101.4,94.5702,101.4,13.526,0.037771316,107400,0.4594,SPTM
